megrezdült,megrezdültem,1,rezdül,/VERB|<PREVERB<MEG>>|[PERF_PART]|<POSS<1>>
összerezdült,összerezdültem,1,rezdül,/VERB|<PREVERB<ÖSSZE>>|[PERF_PART]|<POSS<1>>
rezdült,rezdültem,7,rezdül,/VERB|[PERF_PART]|<POSS<1>>
kosta,kostám,1,kosta,/NOUN|<POSS<1>>
másik,másikom,1,másik,/NOUN|<POSS<1>>
versenyló,versenylovam,1,versenyló,/NOUN|<POSS<1>>
elrekkentett,elrekkentettem,1,elrekkent,/VERB|[PERF_PART]|<POSS<1>>
lepattanván,lepattantam,3,lepattan,/VERB|[PERF_PART]|<POSS<1>>
komornyiki,komornyikim,2,komornyik,/NOUN|[MET_ATTRIB]|<POSS<1>>
komornyik,komornyikom,10,komornyik,/NOUN|<POSS<1>>
bekiabált,bekiabáltam,7,bekiabál,/VERB|[PERF_PART]|<POSS<1>>
készülődés,készülődésem,6,készülődés,/NOUN|<POSS<1>>
parancsoló,parancsolóm,11,parancsoló,/NOUN|<POSS<1>>
parancsoló,parancsolóm,11,parancsoló,/ADJ|<POSS<1>>
államügyész,államügyészem,6,államügyész,/NOUN|<POSS<1>>
lemásolván,lemásoltam,10,másol,/VERB|<PREVERB<LE>>|[PERF_PART]|<POSS<1>>
idemásolt,idemásoltam,2,másol,/VERB|<PREVERB<IDE>>|[PERF_PART]|<POSS<1>>
kimásolt,kimásoltam,8,másol,/VERB|<PREVERB<KI>>|[PERF_PART]|<POSS<1>>
átmásolt,átmásoltam,8,másol,/VERB|<PREVERB<ÁT>>|[PERF_PART]|<POSS<1>>
bemásolt,bemásoltam,7,másol,/VERB|<PREVERB<BE>>|[PERF_PART]|<POSS<1>>
belemásolt,belemásoltam,1,másol,/VERB|<PREVERB<BELE>>|[PERF_PART]|<POSS<1>>
felmásolt,felmásoltam,3,másol,/VERB|<PREVERB<FEL>>|[PERF_PART]|<POSS<1>>
másoló,másolóm,1,másol,/VERB|[IMPERF_PART]|<POSS<1>>
másolván,másoltam,10,másol,/VERB|[PERF_PART]|<POSS<1>>
keresztvíz,keresztvizem,1,keresztvíz,/NOUN|<POSS<1>>
egybekelés,egybekelésem,2,egybekelés,/NOUN|<POSS<1>>
páciens,páciensem,10,páciens,/NOUN|<POSS<1>>
lefülelt,lefüleltem,4,lefülel,/VERB|[PERF_PART]|<POSS<1>>
árjaság,árjaságom,2,árja,/ADJ|[ABSTRACT]|<POSS<1>>
szenvtelenség,szenvtelenségem,1,szenvtelen,/ADJ|[ABSTRACT]|<POSS<1>>
gondterheltség,gondterheltségem,1,gondterhelt,/ADJ|[ABSTRACT]|<POSS<1>>
gondterhelt,gondterheltem,1,gondterhelt,/ADJ|<POSS<1>>
tömörülvén,tömörültem,1,tömörül,/VERB|[PERF_PART]|<POSS<1>>
ritmusérzék,ritmusérzékem,4,ritmusérzék,/NOUN|<POSS<1>>
ária,áriám,5,ária,/NOUN|<POSS<1>>
merénylet,merényletem,3,merénylet,/NOUN|<POSS<1>>
rektifikált,rektifikáltam,2,rektifikál,/VERB|[PERF_PART]|<POSS<1>>
rektifikálván,rektifikáltam,2,rektifikál,/VERB|[PERF_PART]|<POSS<1>>
ócskás,ócskásom,1,ó,/ADJ|[DIMIN]|[ATTRIB]|<POSS<1>>
ó,óm,16,ó,/ADJ|<POSS<1>>
árpa,árpám,2,árpa,/NOUN|<POSS<1>>
hajótér,hajóterem,2,hajótér,/NOUN|<POSS<1>>
kosztolt,kosztoltam,4,koszt,/NOUN|[ACT2]|[PERF_PART]|<POSS<1>>
kosztú,kosztúm,1,koszt,/NOUN|[INAL_ATTRIB]|<POSS<1>>
koszt,kosztom,8,koszt,/NOUN|<POSS<1>>
farönk,farönköm,1,farönk,/NOUN|<POSS<1>>
körülárkolt,körülárkoltam,1,árok,/NOUN|<PREVERB<KÖRÜL>>|[ACT2]|[PERF_PART]|<POSS<1>>
árok,árkom,1,árok,/NOUN|<POSS<1>>
életöröm,életörömöm,2,életöröm,/NOUN|<POSS<1>>
torokfájás,torokfájásom,4,torokfájás,/NOUN|<POSS<1>>
csavart,csavartam,12,csavart,/ADJ|<POSS<1>>
munkált,munkáltam,10,munkált,/ADJ|<POSS<1>>
árnyaltság,árnyaltságom,1,árny,/NOUN|[ACT2]|[PERF_PART]|[ABSTRACT]|<POSS<1>>
beárnyalt,beárnyaltam,1,árny,/NOUN|<PREVERB<BE>>|[ACT2]|[PERF_PART]|<POSS<1>>
árnyalt,árnyaltam,2,árny,/NOUN|[ACT2]|[PERF_PART]|<POSS<1>>
árny,árnyam,15,árny,/NOUN|<POSS<1>>
egyensúlyérzék,egyensúlyérzékem,6,egyensúlyérzék,/NOUN|<POSS<1>>
kristeni,kristenim,1,kristen,/NOUN|[MET_ATTRIB]|<POSS<1>>
nemzetségfő,nemzetségfőm,2,nemzetségfő,/NOUN|<POSS<1>>
buzaii,buzaim,1,buzai,/NOUN|[MET_ATTRIB]|<POSS<1>>
zenélőóra,zenélőórám,4,zenélőóra,/NOUN|<POSS<1>>
porcika,porcikám,11,porcika,/NOUN|<POSS<1>>
kitüremkedés,kitüremkedésem,1,kitüremkedik,/VERB|[GERUND]|<POSS<1>>
versenyző,versenyzőm,2,versenyez,/VERB|[IMPERF_PART]|<POSS<1>>
versenyzés,versenyzésem,1,versenyez,/VERB|[GERUND]|<POSS<1>>
combcsont,combcsontom,3,combcsont,/NOUN|<POSS<1>>
cintányér,cintányérom,2,cintányér,/NOUN|<POSS<1>>
borscs,borscsom,1,borscs,/NOUN|<POSS<1>>
megsemmisült,megsemmisültem,12,megsemmisül,/VERB|[PERF_PART]|<POSS<1>>
kötényke,köténykém,2,kötényke,/NOUN|<POSS<1>>
pampa,pampám,3,pampa,/NOUN|<POSS<1>>
fogfájás,fogfájásom,7,fogfájás,/NOUN|<POSS<1>>
életcél,életcélom,10,életcél,/NOUN|<POSS<1>>
készséges,készségesem,1,készséges,/ADJ|<POSS<1>>
közelség,közelségem,5,közelség,/NOUN|<POSS<1>>
tömörített,tömörítettem,7,tömörít,/VERB|[PERF_PART]|<POSS<1>>
megsemmisített,megsemmisítettem,11,megsemmisít,/VERB|[PERF_PART]|<POSS<1>>
ártó,ártóm,1,ártó,/ADJ|<POSS<1>>
küllői,küllőim,1,küllő,/NOUN|[MET_ATTRIB]|<POSS<1>>
küllő,küllőm,1,küllő,/NOUN|<POSS<1>>
tilolt,tiloltam,1,tilol,/VERB|[PERF_PART]|<POSS<1>>
ipari,iparim,2,ipari,/ADJ|<POSS<1>>
tilos,tilosom,1,tilos,/ADJ|<POSS<1>>
felszántott,felszántottam,7,felszánt,/VERB|[PERF_PART]|<POSS<1>>
elárulván,elárultam,14,árul,/VERB|<PREVERB<EL>>|[PERF_PART]|<POSS<1>>
beárulván,beárultam,3,árul,/VERB|<PREVERB<BE>>|[PERF_PART]|<POSS<1>>
árulván,árultam,11,árul,/VERB|[PERF_PART]|<POSS<1>>
beárult,beárultam,3,árul,/VERB|<PREVERB<BE>>|[PERF_PART]|<POSS<1>>
leszüretelt,leszüreteltem,4,szüret,/NOUN|<PREVERB<LE>>|[ACT2]|[PERF_PART]|<POSS<1>>
szüretelvén,szüreteltem,6,szüret,/NOUN|[ACT2]|[PERF_PART]|<POSS<1>>
szüret,szüretem,5,szüret,/NOUN|<POSS<1>>
krumpliföld,krumpliföldem,1,krumpliföld,/NOUN|<POSS<1>>
árus,árusom,2,árus,/NOUN|<POSS<1>>
forrásanyag,forrásanyagom,3,forrásanyag,/NOUN|<POSS<1>>
árvasági,árvaságim,1,árva,/ADJ|[ABSTRACT]|[MET_ATTRIB]|<POSS<1>>
